order_id,order_date,product,category,region,channel,customer_id,quantity,unit_price,revenue
10000,2026-02-12,Ergonomic Chair,Furniture,LATAM,Online,CUST-0230,2,669.09,1338.18
10001,2026-04-25,4K Monitor,Electronics,Europe,Partner,CUST-0217,1,1156.78,1156.78
10002,2026-03-24,4K Monitor,Electronics,APAC,Online,CUST-0048,2,1005.61,2011.22
10003,2026-03-29,Wireless Mouse,Accessories,APAC,Online,CUST-0374,3,70.9,212.7
10004,2026-04-08,Ergonomic Chair,Furniture,LATAM,Online,CUST-0283,1,710.88,710.88
10005,2026-03-18,Tablet,Electronics,APAC,Partner,CUST-0099,5,376.48,1882.38
10006,2026-05-10,Wireless Mouse,Accessories,APAC,Online,CUST-0120,1,67.79,67.79
10007,2026-05-30,Wireless Mouse,Accessories,APAC,Online,CUST-0190,4,61.39,245.58
10008,2026-03-26,Mechanical Keyboard,Accessories,North America,Partner,CUST-0326,3,367.24,1101.71
10009,2026-03-02,Ergonomic Chair,Furniture,LATAM,Retail,CUST-0328,2,579.26,1158.52
10010,2026-05-08,Ergonomic Chair,Furniture,North America,Online,CUST-0017,2,663.98,1327.97
10011,2026-05-23,Webcam HD,Accessories,Europe,Partner,CUST-0368,4,939.63,3758.52
10012,2026-03-21,Mechanical Keyboard,Accessories,LATAM,Online,CUST-0136,4,339.82,1359.29
10013,2026-02-26,Mechanical Keyboard,Accessories,LATAM,Partner,CUST-0205,5,352.66,1763.28
10014,2026-03-27,Mechanical Keyboard,Accessories,North America,Online,CUST-0057,2,350.02,700.04
10015,2026-02-28,Tablet,Electronics,LATAM,Partner,CUST-0033,2,368.27,736.55
10016,2026-03-30,Noise-Cancel Headphones,Audio,APAC,Partner,CUST-0006,5,1474.35,7371.75
10017,2026-05-07,Smartwatch,Wearables,APAC,Partner,CUST-0175,1,788.66,788.66
10018,2026-02-23,4K Monitor,Electronics,North America,Partner,CUST-0369,4,989.71,3958.84
10019,2026-03-14,Ergonomic Chair,Furniture,North America,Partner,CUST-0153,2,635.22,1270.45
10020,2026-05-27,Tablet,Electronics,Europe,Retail,CUST-0391,5,352.19,1760.94
10021,2026-03-01,Ergonomic Chair,Furniture,APAC,Retail,CUST-0010,5,702.0,3510.02
10022,2026-02-23,Webcam HD,Accessories,Europe,Partner,CUST-0041,3,932.38,2797.15
10023,2026-02-19,Smartwatch,Wearables,Europe,Online,CUST-0338,4,814.61,3258.44
10024,2026-04-10,Ergonomic Chair,Furniture,LATAM,Online,CUST-0277,2,595.78,1191.56
10025,2026-05-16,Smartwatch,Wearables,LATAM,Partner,CUST-0333,2,794.69,1589.39
10026,2026-03-28,Standing Desk,Furniture,Europe,Online,CUST-0033,5,151.94,759.71
10027,2026-03-24,Laptop Pro,Electronics,Europe,Online,CUST-0037,5,958.79,4793.93
10028,2026-05-10,Tablet,Electronics,North America,Retail,CUST-0037,1,318.8,318.8
10029,2026-04-15,Mechanical Keyboard,Accessories,Europe,Partner,CUST-0068,3,364.3,1092.89
10030,2026-05-12,Smartphone,Electronics,LATAM,Retail,CUST-0098,5,71.45,357.25
10031,2026-02-21,Wireless Mouse,Accessories,LATAM,Retail,CUST-0374,4,62.67,250.67
10032,2026-02-15,Tablet,Electronics,APAC,Online,CUST-0128,1,304.01,304.01
10033,2026-03-05,Mechanical Keyboard,Accessories,LATAM,Online,CUST-0143,5,344.57,1722.83
10034,2026-04-09,Mechanical Keyboard,Accessories,North America,Online,CUST-0334,1,344.08,344.08
10035,2026-04-19,Laptop Pro,Electronics,Europe,Online,CUST-0209,1,1049.1,1049.1
10036,2026-04-12,Standing Desk,Furniture,North America,Online,CUST-0195,2,168.24,336.48
10037,2026-02-09,Noise-Cancel Headphones,Audio,LATAM,Retail,CUST-0217,3,1451.01,4353.02
10038,2026-05-09,Smartwatch,Wearables,LATAM,Online,CUST-0098,5,784.82,3924.12
10039,2026-03-18,Mechanical Keyboard,Accessories,North America,Partner,CUST-0161,1,356.26,356.26
10040,2026-02-16,Laptop Pro,Electronics,Europe,Online,CUST-0261,5,940.08,4700.41
10041,2026-02-19,USB-C Hub,Accessories,Europe,Retail,CUST-0062,1,433.75,433.75
